ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007389	pattern specification process	14/267	467/18614	0.00776507414941473	0.0419667967562386	0.0293184236140745	BTG2/EGR2/ETS2/BHLHE40/HEY1/LEF1/WNT5A/HES1/NKD1/NOG/GDF3/GRHL3/BHLHE41/TLL1	14
BP	GO:1903829	positive regulation of protein localization	14/267	468/18614	0.00790458022304064	0.0425549642682419	0.0297293233158819	TLR2/CLN3/NEDD9/CDH1/GZMB/WNT5A/PTGS2/IL1B/SORL1/TNFAIP6/FFAR2/VIL1/ITGB2/RAC2	14
BP	GO:0006970	response to osmotic stress	5/267	86/18614	0.0079299841164067	0.0425549642682419	0.0297293233158819	CLN3/PTGS2/NLRP3/CASP1/RCSD1	5
BP	GO:0033077	T cell differentiation in thymus	5/267	86/18614	0.0079299841164067	0.0425549642682419	0.0297293233158819	IL1B/CD3D/PTPRC/IL2RG/GATA3	5
BP	GO:0034103	regulation of tissue remodeling	5/267	86/18614	0.0079299841164067	0.0425549642682419	0.0297293233158819	IL6/TNFAIP3/TNFRSF11B/IL18/HAMP	5
BP	GO:0061053	somite development	5/267	86/18614	0.0079299841164067	0.0425549642682419	0.0297293233158819	LEF1/WNT5A/NKD1/NOG/GDF3	5
BP	GO:0002686	negative regulation of leukocyte migration	4/267	55/18614	0.00795936521302209	0.0425921461469757	0.0297552989479469	CCL2/TNFAIP6/RIPOR2/APOD	4
BP	GO:0010518	positive regulation of phospholipase activity	4/267	55/18614	0.00795936521302209	0.0425921461469757	0.0297552989479469	S1PR4/KIT/C5AR1/PTAFR	4
BP	GO:0090132	epithelium migration	12/267	374/18614	0.0080213114505192	0.0428244442785239	0.0299175847441454	MMP9/CLN3/HBEGF/WNT5A/PTGS2/PLCG2/NR4A1/KIT/PIK3CG/VIL1/GATA3/CDH13	12
BP	GO:0030282	bone mineralization	6/267	121/18614	0.00802535052241183	0.0428244442785239	0.0299175847441454	OSR2/MGP/PTHLH/PTGS2/CCR1/FGR	6
BP	GO:0001773	myeloid dendritic cell activation	3/267	29/18614	0.00809523911307453	0.0428957223393921	0.0299673803097937	CLEC4D/HAVCR2/IL10	3
BP	GO:0060037	pharyngeal system development	3/267	29/18614	0.00809523911307453	0.0428957223393921	0.0299673803097937	HES1/NOG/GATA3	3
BP	GO:0061436	establishment of skin barrier	3/267	29/18614	0.00809523911307453	0.0428957223393921	0.0299673803097937	IL18/NFKBIZ/GRHL3	3
BP	GO:0099170	postsynaptic modulation of chemical synaptic transmission	3/267	29/18614	0.00809523911307453	0.0428957223393921	0.0299673803097937	CDH1/WNT5A/NRGN	3
BP	GO:1903205	regulation of hydrogen peroxide-induced cell death	3/267	29/18614	0.00809523911307453	0.0428957223393921	0.0299673803097937	NR4A3/LRRK2/IL10	3
BP	GO:0003002	regionalization	13/267	422/18614	0.00818251453056087	0.043297712871615	0.0302482149129447	BTG2/EGR2/ETS2/BHLHE40/HEY1/LEF1/WNT5A/HES1/NKD1/NOG/GDF3/BHLHE41/TLL1	13
BP	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	4/267	56/18614	0.00847701052886857	0.0439530876799596	0.0307060663036202	CCL2/CCR1/HRH2/CALCRL	4
BP	GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	APBB1IP/HAVCR2	2
BP	GO:0002676	regulation of chronic inflammatory response	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TNFAIP3/IL10	2
BP	GO:0009629	response to gravity	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	FOS/PTAFR	2
BP	GO:0014012	peripheral nervous system axon regeneration	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	MMP2/APOD	2
BP	GO:0032815	negative regulation of natural killer cell activation	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	HAVCR2/FGR	2
BP	GO:0035747	natural killer cell chemotaxis	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	CCL2/PIK3CG	2
BP	GO:0043353	enucleate erythrocyte differentiation	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	ID2/TRIM58	2
BP	GO:0048340	paraxial mesoderm morphogenesis	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	LEF1/WNT5A	2
BP	GO:0060628	regulation of ER to Golgi vesicle-mediated transport	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	SORL1/LRRK2	2
BP	GO:0061626	pharyngeal arch artery morphogenesis	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	HES1/NOG	2
BP	GO:0070339	response to bacterial lipopeptide	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TLR2/CD14	2
BP	GO:0070391	response to lipoteichoic acid	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TLR2/CD14	2
BP	GO:0071220	cellular response to bacterial lipoprotein	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TLR2/CD14	2
BP	GO:0071221	cellular response to bacterial lipopeptide	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TLR2/CD14	2
BP	GO:0071223	cellular response to lipoteichoic acid	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TLR2/CD14	2
BP	GO:0072172	mesonephric tubule formation	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	NOG/GATA3	2
BP	GO:1903959	regulation of monoatomic anion transmembrane transport	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	PTAFR/ANO9	2
BP	GO:1903980	positive regulation of microglial cell activation	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	CTSC/LRRK2	2
BP	GO:2000425	regulation of apoptotic cell clearance	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	TGM2/CCL2	2
BP	GO:2000659	regulation of interleukin-1-mediated signaling pathway	2/267	10/18614	0.00854965174164738	0.0439530876799596	0.0307060663036202	IL6/IL1R2	2
BP	GO:0043393	regulation of protein binding	8/267	201/18614	0.00864290494944662	0.0443723699299059	0.0309989810735796	MMP9/CARD16/WNT5A/SORL1/NOG/TMC8/LRRK2/IL10	8
BP	GO:0071277	cellular response to calcium ion	5/267	88/18614	0.00871784420335407	0.0446966228480072	0.0312255074026252	JUNB/FOS/ALOX5AP/WNT5A/PLCG2	5
BP	GO:0090130	tissue migration	12/267	379/18614	0.00886005434236011	0.0452263688307053	0.0315955932402175	MMP9/CLN3/HBEGF/WNT5A/PTGS2/PLCG2/NR4A1/KIT/PIK3CG/VIL1/GATA3/CDH13	12
BP	GO:0006882	intracellular zinc ion homeostasis	3/267	30/18614	0.00890075146267882	0.0452263688307053	0.0315955932402175	LCK/TMC8/S100A8	3
BP	GO:0007176	regulation of epidermal growth factor-activated receptor activity	3/267	30/18614	0.00890075146267882	0.0452263688307053	0.0315955932402175	TGFA/HBEGF/NCF1	3
BP	GO:0050820	positive regulation of coagulation	3/267	30/18614	0.00890075146267882	0.0452263688307053	0.0315955932402175	SERPINE1/THBD/PLAU	3
BP	GO:0070498	interleukin-1-mediated signaling pathway	3/267	30/18614	0.00890075146267882	0.0452263688307053	0.0315955932402175	IL6/IL1R2/IL1B	3
BP	GO:0072539	T-helper 17 cell differentiation	3/267	30/18614	0.00890075146267882	0.0452263688307053	0.0315955932402175	IL6/JUNB/NFKBIZ	3
BP	GO:0070482	response to oxygen levels	11/267	333/18614	0.00890461189154899	0.0452263688307053	0.0315955932402175	TLR2/CXCR4/NR4A2/CARD16/SLC7A5/UCP2/FOS/PTGS2/CYBB/MMP2/PLAU	11
BP	GO:0040013	negative regulation of locomotion	13/267	427/18614	0.00897791633069374	0.0454886741886452	0.0317788423846541	TRIB1/SERPINE1/NEDD9/ARHGDIB/CDH1/WAS/WNT5A/CCL2/TNFAIP6/RIPOR2/NOG/APOD/GATA3	13
BP	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	6/267	124/18614	0.00900157705046377	0.0454886741886452	0.0317788423846541	NLRP12/LCK/CLEC7A/NLRP3/CASP1/S100A8	6
BP	GO:0048168	regulation of neuronal synaptic plasticity	4/267	57/18614	0.00901620532152378	0.0454886741886452	0.0317788423846541	EGR2/CLN3/KIT/NOG	4
BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	4/267	57/18614	0.00901620532152378	0.0454886741886452	0.0317788423846541	IL6/SELL/PTAFR/ITGB2	4
BP	GO:0072132	mesenchyme morphogenesis	4/267	57/18614	0.00901620532152378	0.0454886741886452	0.0317788423846541	HEY1/LEF1/WNT5A/NOG	4
BP	GO:0002312	B cell activation involved in immune response	5/267	89/18614	0.00913137333166908	0.0459475204513959	0.0320993969693463	IL6/NFKBIZ/PLCG2/PTPRC/IL10	5
BP	GO:2000177	regulation of neural precursor cell proliferation	5/267	89/18614	0.00913137333166908	0.0459475204513959	0.0320993969693463	BTG2/ID2/SHCBP1/WNT5A/LRRK2	5
BP	GO:0031667	response to nutrient levels	14/267	477/18614	0.00925181222684882	0.0464918881969065	0.0324796977165637	TNFRSF11B/NQO1/SLC7A5/UCP2/FOS/ZFP36/NFKBIZ/PTGS2/HAMP/SORL1/CYBB/SLC10A1/GDF3/LRRK2	14
BP	GO:0002832	negative regulation of response to biotic stimulus	6/267	125/18614	0.00934507223078938	0.0467746755192809	0.0326772557660431	TRIB1/TNFAIP3/CARD16/CD96/RNF125/HAVCR2	6
BP	GO:0006690	icosanoid metabolic process	6/267	125/18614	0.00934507223078938	0.0467746755192809	0.0326772557660431	TLR2/ALOX5AP/PTGS2/IL1B/CYP4F3/CASP1	6
BP	GO:0031623	receptor internalization	6/267	125/18614	0.00934507223078938	0.0467746755192809	0.0326772557660431	ACKR3/PLCG2/GTF2H2/ITGB2/CALCRL/CXCR1	6
BP	GO:1902075	cellular response to salt	8/267	204/18614	0.00940352559738287	0.047005238625126	0.0328383294559463	JUNB/CDH1/FOS/ALOX5AP/WNT5A/PTGS2/TGM2/PLCG2	8
BP	GO:0014910	regulation of smooth muscle cell migration	5/267	90/18614	0.00955823886464812	0.0476530331832785	0.0332908852080835	TRIB1/SERPINE1/NR4A3/SORL1/PLAU	5
BP	GO:0033555	multicellular organismal response to stress	5/267	90/18614	0.00955823886464812	0.0476530331832785	0.0332908852080835	SCN3A/NR4A2/EDNRB/AQP9/LPAR5	5
BP	GO:0061005	cell differentiation involved in kidney development	4/267	58/18614	0.00957728907308757	0.0476853474321447	0.0333134602652777	MMP9/EDNRB/HES1/GATA3	4
BP	GO:0009895	negative regulation of catabolic process	11/267	337/18614	0.00968303179257986	0.0481109795488761	0.0336108111156313	NQO1/SLC7A5/ZFP36/IL1B/IER3/SORL1/PIK3CG/PKP3/IL10RA/LRRK2/IL10	11
BP	GO:0003206	cardiac chamber morphogenesis	6/267	126/18614	0.00969782872040121	0.0481109795488761	0.0336108111156313	HEY1/WNT5A/HES1/NOG/ADGRG6/GATA3	6
BP	GO:0045987	positive regulation of smooth muscle contraction	3/267	31/18614	0.00975154013523609	0.0481109795488761	0.0336108111156313	PTGS2/KIT/PTAFR	3
BP	GO:0060325	face morphogenesis	3/267	31/18614	0.00975154013523609	0.0481109795488761	0.0336108111156313	LEF1/NOG/MMP2	3
BP	GO:0061311	cell surface receptor signaling pathway involved in heart development	3/267	31/18614	0.00975154013523609	0.0481109795488761	0.0336108111156313	HEY1/WNT5A/NOG	3
BP	GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	3/267	31/18614	0.00975154013523609	0.0481109795488761	0.0336108111156313	TNFAIP3/ITPRIP/SERPINE1	3
BP	GO:2000316	regulation of T-helper 17 type immune response	3/267	31/18614	0.00975154013523609	0.0481109795488761	0.0336108111156313	JUNB/NFKBIZ/CLEC7A	3
BP	GO:0051701	biological process involved in interaction with host	8/267	206/18614	0.00993763098359953	0.0489654181191904	0.0342077304397862	ANPEP/CXCR4/TRIM22/TRIM58/SLC10A1/CLEC5A/TMPRSS4/VAMP8	8
BP	GO:0001666	response to hypoxia	10/267	293/18614	0.00999009634981419	0.049138395403791	0.0343285740994772	TLR2/CXCR4/NR4A2/CARD16/UCP2/FOS/PTGS2/CYBB/MMP2/PLAU	10
BP	GO:0097581	lamellipodium organization	5/267	91/18614	0.00999864028775084	0.049138395403791	0.0343285740994772	WAS/KIT/VIL1/RAC2/CDH13	5
BP	GO:0090288	negative regulation of cellular response to growth factor stimulus	6/267	127/18614	0.0100599761841818	0.0493758727591019	0.0344944781531556	WNT5A/SORL1/TNFAIP6/NOG/GDF3/GATA3	6
BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	4/267	59/18614	0.0101605912090364	0.0494620612269834	0.0345546902781523	CXCR4/WNT5A/NLRP6/CASP1	4
BP	GO:0070228	regulation of lymphocyte apoptotic process	4/267	59/18614	0.0101605912090364	0.0494620612269834	0.0345546902781523	CD27/WNT5A/DOCK8/IL10	4
BP	GO:2000351	regulation of endothelial cell apoptotic process	4/267	59/18614	0.0101605912090364	0.0494620612269834	0.0345546902781523	TNFAIP3/SERPINE1/CCL2/GATA3	4
BP	GO:0030856	regulation of epithelial cell differentiation	7/267	166/18614	0.010180432419466	0.0494620612269834	0.0345546902781523	MMP9/SERPINE1/ZFP36/IL1B/HES1/GDF3/GATA3	7
BP	GO:0031960	response to corticosteroid	7/267	166/18614	0.010180432419466	0.0494620612269834	0.0345546902781523	IL6/FOS/ZFP36/PTGS2/CYBB/PTAFR/IL10	7
BP	GO:0023061	signal release	14/267	483/18614	0.0102463751731578	0.0494620612269834	0.0345546902781523	IL6/UCP2/EDNRB/PTGS2/IL1B/NR4A1/OSM/FFAR2/REN/MCTP2/VAMP8/IL11/GATA3/LRRK2	14
BP	GO:0002158	osteoclast proliferation	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	TNFAIP3/JUNB	2
BP	GO:0007494	midgut development	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	WNT5A/EDNRB	2
BP	GO:0032490	detection of molecule of bacterial origin	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	TLR2/LY96	2
BP	GO:0032493	response to bacterial lipoprotein	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	TLR2/CD14	2
BP	GO:0032754	positive regulation of interleukin-5 production	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	GATA3/CRLF2	2
BP	GO:0045628	regulation of T-helper 2 cell differentiation	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	IL18/NLRP3	2
BP	GO:0046643	regulation of gamma-delta T cell activation	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	LEF1/PTPRC	2
BP	GO:0060272	embryonic skeletal joint morphogenesis	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	OSR2/NOG	2
BP	GO:0060601	lateral sprouting from an epithelium	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	WNT5A/NOG	2
BP	GO:0060900	embryonic camera-type eye formation	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	ALDH1A3/WNT5A	2
BP	GO:0070327	thyroid hormone transport	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	SLC7A5/TUBB1	2
BP	GO:0070673	response to interleukin-18	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	IL18/NLRP6	2
BP	GO:0071492	cellular response to UV-A	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	MMP9/MMP2	2
BP	GO:0090179	planar cell polarity pathway involved in neural tube closure	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	WNT5A/GRHL3	2
BP	GO:0090527	actin filament reorganization	2/267	11/18614	0.0103513117064378	0.0494620612269834	0.0345546902781523	CASS4/NEDD9	2
CC	GO:0070820	tertiary granule	17/281	164/19518	2.43083305171049e-10	7.07372418047754e-08	5.88517475677277e-08	CXCL1/MMP9/CLEC12A/ORM1/LYZ/SIGLEC5/FPR1/TNFAIP6/CYBB/CD53/CLEC5A/PTAFR/CLEC4D/ITGB2/VAMP8/PLAU/FPR2	17
CC	GO:0030667	secretory granule membrane	22/281	319/19518	1.50154454293114e-09	2.18474730996481e-07	1.81765918354822e-07	ANPEP/TLR2/CLEC12A/CD14/SELL/ADGRG3/SIGLEC5/FPR1/CYBB/CD53/CLEC5A/PTPRC/C5AR1/PTAFR/CLEC4D/ITGB2/VAMP8/C3AR1/PLAU/CXCR1/SCG3/FPR2	22
CC	GO:0070821	tertiary granule membrane	11/281	73/19518	7.31232572300699e-09	7.09295595131678e-07	5.90117514488284e-07	CLEC12A/SIGLEC5/CYBB/CD53/CLEC5A/PTAFR/CLEC4D/ITGB2/VAMP8/PLAU/FPR2	11
CC	GO:0035579	specific granule membrane	11/281	91/19518	7.73410219319293e-08	4.87871828545764e-06	4.05898066795174e-06	CLEC12A/ADGRG3/CYBB/CD53/CLEC5A/CLEC4D/ITGB2/VAMP8/C3AR1/PLAU/FPR2	11
CC	GO:0042581	specific granule	14/281	160/19518	8.38267746642207e-08	4.87871828545764e-06	4.05898066795174e-06	CXCL1/CLEC12A/ADGRG3/ORM1/LYZ/CYBB/CD53/CLEC5A/CLEC4D/ITGB2/VAMP8/C3AR1/PLAU/FPR2	14
CC	GO:1904090	peptidase inhibitor complex	5/281	11/19518	2.56925706867952e-07	1.24608967830957e-05	1.0367177645549e-05	SERPINE1/CARD16/CSTA/CASP1/PLAU	5
CC	GO:0043020	NADPH oxidase complex	5/281	18/19518	4.38628733488275e-06	0.00018234423063584	0.000151706178499704	NCF1/CYBB/NCF4/RAC2/NCF1C	5
CC	GO:0009897	external side of plasma membrane	19/281	426/19518	1.45257854015255e-05	0.000528375443980489	0.000439596137151428	ANPEP/CD27/CD14/SELL/SLC7A5/THBD/CD1D/KIT/CLEC4E/CCR1/CD3D/PTPRC/CLEC4D/BTNL8/ITGB2/IL2RG/CDH13/TRGC2/CRLF2	19
CC	GO:0001772	immunological synapse	6/281	43/19518	3.28979453844015e-05	0.00106370023409565	0.000884973969404951	NEDD9/GZMB/LCK/CD53/SCIMP/HAVCR2	6
CC	GO:0045335	phagocytic vesicle	10/281	141/19518	3.83875768544144e-05	0.00111707848646346	0.00092938343963319	TLR2/NCF1/WAS/CLEC4E/CYBB/SCIMP/NCF4/VAMP8/RAC2/MPEG1	10
CC	GO:0030139	endocytic vesicle	16/281	347/19518	4.67173231390027e-05	0.00123588554849544	0.00102822816478188	TLR2/TGFA/HBEGF/NCF1/WAS/WNT5A/CLEC4E/CYBB/CD3D/HLA-DPB1/SCIMP/NCF4/VAMP8/RAC2/MARCO/MPEG1	16
CC	GO:0061702	inflammasome complex	4/281	16/19518	6.67730845326458e-05	0.00161924729991666	0.00134717626688671	CARD16/NLRP3/NLRP6/CASP1	4
CC	GO:0005767	secondary lysosome	4/281	18/19518	0.000109745491348288	0.00245661061402707	0.00204384315871306	CLN3/NCF1/NCF4/LRRK2	4
CC	GO:0030666	endocytic vesicle membrane	11/281	196/19518	0.00013332222310927	0.00277119763748555	0.00230557227933325	TLR2/TGFA/HBEGF/WNT5A/CLEC4E/CYBB/CD3D/HLA-DPB1/VAMP8/RAC2/MARCO	11
CC	GO:0030669	clathrin-coated endocytic vesicle membrane	6/281	73/19518	0.000640677138073178	0.0124291364786197	0.0103407538074969	TGFA/HBEGF/WNT5A/CD3D/HLA-DPB1/VAMP8	6
CC	GO:0045121	membrane raft	13/281	323/19518	0.000862704472537083	0.0151909289976177	0.0126385012459833	TLR2/CLN3/CD14/CDH1/EDNRB/PTGS2/HCK/LCK/PTPRC/ITGB2/LRRK2/CDH13/CD48	13
CC	GO:0098857	membrane microdomain	13/281	324/19518	0.000887442587489696	0.0151909289976177	0.0126385012459833	TLR2/CLN3/CD14/CDH1/EDNRB/PTGS2/HCK/LCK/PTPRC/ITGB2/LRRK2/CDH13/CD48	13
CC	GO:0062023	collagen-containing extracellular matrix	15/281	415/19518	0.00106076604081255	0.0166736639268849	0.0138721023808411	SERPINA1/MMP9/CTSC/SERPINE1/ORM1/MGP/WNT5A/RARRES2/TGM2/PF4/S100A4/MMP2/COL15A1/S100A8/CDH13	15
CC	GO:1904724	tertiary granule lumen	5/281	55/19518	0.00115336836899893	0.0166736639268849	0.0138721023808411	CXCL1/MMP9/ORM1/LYZ/TNFAIP6	5
CC	GO:0031256	leading edge membrane	9/281	180/19518	0.00122633323701031	0.0166736639268849	0.0138721023808411	ADGRE2/PLCG2/DOCK8/RIPOR2/PACSIN1/LCP1/SCIMP/PLEK/FGR	9
CC	GO:0031252	cell leading edge	15/281	422/19518	0.00125227981167129	0.0166736639268849	0.0138721023808411	CXCR4/NEDD9/CDH1/ADGRE2/APBB1IP/PLCG2/DOCK8/RIPOR2/PACSIN1/LCP1/VIL1/SCIMP/RAC2/PLEK/FGR	15
CC	GO:0005901	caveola	6/281	83/19518	0.00126055191199817	0.0166736639268849	0.0138721023808411	CLN3/CDH1/PTGS2/HCK/LRRK2/CDH13	6
CC	GO:0044853	plasma membrane raft	7/281	114/19518	0.00132016511020933	0.0167029585683007	0.0138964748443088	CLN3/CDH1/PTGS2/HCK/ITGB2/LRRK2/CDH13	7
CC	GO:0101003	ficolin-1-rich granule membrane	5/281	61/19518	0.00183918165164201	0.0223000775261594	0.0185531482402484	SIGLEC5/FPR1/CLEC4D/ITGB2/FPR2	5
CC	GO:0045334	clathrin-coated endocytic vesicle	6/281	92/19518	0.00213917918091867	0.0249000456658933	0.0207162615415282	TGFA/HBEGF/WNT5A/CD3D/HLA-DPB1/VAMP8	6
CC	GO:0034774	secretory granule lumen	12/281	322/19518	0.00256235763395729	0.0286786950569836	0.0238600103566874	CXCL1/SERPINA1/ARHGAP9/CTSC/SERPINE1/ORM1/LYZ/RARRES2/PF4/FGR/S100A8/SCG3	12
CC	GO:0060205	cytoplasmic vesicle lumen	12/281	325/19518	0.00276320490224746	0.0297812083908892	0.0247772759265854	CXCL1/SERPINA1/ARHGAP9/CTSC/SERPINE1/ORM1/LYZ/RARRES2/PF4/FGR/S100A8/SCG3	12
CC	GO:0031983	vesicle lumen	12/281	327/19518	0.00290408032673414	0.0301816919671298	0.0251104689905583	CXCL1/SERPINA1/ARHGAP9/CTSC/SERPINE1/ORM1/LYZ/RARRES2/PF4/FGR/S100A8/SCG3	12
CC	GO:0019898	extrinsic component of membrane	11/281	288/19518	0.00317106565730784	0.0318200036647097	0.0264735063949475	SOCS3/SYTL3/CDH1/NCF1/HCK/LCK/SOCS1/PIK3CG/GNG2/FGR/CDH13	11
CC	GO:0032587	ruffle membrane	6/281	101/19518	0.00341614546932367	0.0331366110524396	0.0275688932612086	ADGRE2/PLCG2/PACSIN1/LCP1/PLEK/FGR	6
CC	GO:0030665	clathrin-coated vesicle membrane	7/281	136/19518	0.00358827983488818	0.0336835300629826	0.0280239172164442	TGFA/HBEGF/WNT5A/CD3D/HLA-DPB1/VAMP8/NRGN	7
CC	GO:0001726	ruffle	8/281	181/19518	0.00480179018115073	0.0436662794598394	0.0363293336073904	ADGRE2/PLCG2/PACSIN1/LCP1/VIL1/SCIMP/PLEK/FGR	8
CC	GO:0030670	phagocytic vesicle membrane	5/281	78/19518	0.00535770603365709	0.0455781168260127	0.0379199380357494	TLR2/CLEC4E/CYBB/VAMP8/RAC2	5
CC	GO:0101002	ficolin-1-rich granule	8/281	185/19518	0.0054658575989617	0.0455781168260127	0.0379199380357494	SERPINA1/MMP9/SIGLEC5/FPR1/TNFAIP6/CLEC4D/ITGB2/FPR2	8
CC	GO:0019897	extrinsic component of plasma membrane	7/281	147/19518	0.0054819040856029	0.0455781168260127	0.0379199380357494	SYTL3/CDH1/HCK/LCK/GNG2/FGR/CDH13	7
MF	GO:0038187	pattern recognition receptor activity	9/268	27/18369	9.75875246248277e-11	4.95744625094124e-08	4.12949314728218e-08	TLR2/CD14/CLEC4E/LY96/CLEC7A/NLRP6/PTAFR/CLEC4D/MARCO	9
MF	GO:0005125	cytokine activity	19/268	235/18369	1.8137749547274e-09	4.6069883850076e-07	3.83756595684429e-07	CXCL2/CXCL1/IL6/TNFRSF11B/CXCL3/CCL20/IL18/CXCL6/WNT5A/CCL2/IL1B/PF4/CXCL5/OSM/GDF3/CCL24/TNFSF8/IL11/IL10	19
MF	GO:0140375	immune receptor activity	14/268	141/18369	1.95581273109248e-08	3.3118428913166e-06	2.75872532596203e-06	CXCR4/IL1R2/ACKR3/FPR1/CCR1/CCR2/C5AR1/CXCR5/IL2RG/C3AR1/IL10RA/CXCR1/CRLF2/FPR2	14
MF	GO:0008009	chemokine activity	9/268	49/18369	3.23167280841614e-08	4.1042244666885e-06	3.41876965521918e-06	CXCL2/CXCL1/CXCL3/CCL20/CXCL6/CCL2/PF4/CXCL5/CCL24	9
MF	GO:0048018	receptor ligand activity	25/268	497/18369	8.16432881357992e-08	8.19750364408893e-06	6.82842201600445e-06	CXCL2/CXCL1/IL6/TNFRSF11B/CXCL3/CCL20/TGFA/HBEGF/IL18/CXCL6/PTHLH/WNT5A/UTS2/HAMP/CCL2/NTS/IL1B/PF4/CXCL5/OSM/GDF3/CCL24/TNFSF8/IL11/IL10	25
MF	GO:0005126	cytokine receptor binding	18/268	270/18369	9.68209091821527e-08	8.19750364408893e-06	6.82842201600445e-06	CXCL2/CXCL1/IL6/CXCL3/CCL20/IL18/CXCL6/CCL2/IL1B/PF4/CXCL5/OSM/CCR2/CCL24/TNFSF8/IL11/GATA3/IL10	18
MF	GO:0042379	chemokine receptor binding	10/268	74/18369	1.1680368323999e-07	8.47661015513071e-06	7.06091438533474e-06	CXCL2/CXCL1/CXCL3/CCL20/CXCL6/CCL2/PF4/CXCL5/CCR2/CCL24	10
MF	GO:0045236	CXCR chemokine receptor binding	6/268	18/18369	1.46148420744813e-07	9.28042471729562e-06	7.73048225518616e-06	CXCL2/CXCL1/CXCL3/CXCL6/PF4/CXCL5	6
MF	GO:0019955	cytokine binding	12/268	130/18369	4.55654451376575e-07	2.57191623665889e-05	2.14237531524425e-05	CXCR4/IL1R2/ZFP36/ACKR3/KIT/CCR1/NOG/TMC8/IL2RG/IL10RA/CXCR1/CRLF2	12
MF	GO:0004896	cytokine receptor activity	10/268	92/18369	9.31180855730019e-07	4.73039874710849e-05	3.94036530529966e-05	CXCR4/IL1R2/ACKR3/CCR1/CCR2/CXCR5/IL2RG/IL10RA/CXCR1/CRLF2	10
MF	GO:0001637	G protein-coupled chemoattractant receptor activity	6/268	25/18369	1.27954254363499e-06	5.41673010138812e-05	4.51207107492339e-05	CXCR4/ACKR3/CCR1/CCR2/CXCR5/CXCR1	6
MF	GO:0004950	chemokine receptor activity	6/268	25/18369	1.27954254363499e-06	5.41673010138812e-05	4.51207107492339e-05	CXCR4/ACKR3/CCR1/CCR2/CXCR5/CXCR1	6
MF	GO:0008528	G protein-coupled peptide receptor activity	11/268	142/18369	7.66577698634696e-06	0.000299554977620328	0.000249525696235747	CXCR4/ACKR3/EDNRB/FPR1/CCR1/CCR2/NLRP6/CXCR5/CALCRL/CXCR1/FPR2	11
MF	GO:0034987	immunoglobulin receptor binding	4/268	10/18369	8.6833197663919e-06	0.000315080460094792	0.000262458236548086	JCHAIN/CLEC4D/FGR/IGHA1	4
MF	GO:0001653	peptide receptor activity	11/268	148/18369	1.13767253689716e-05	0.000385291765829173	0.000320943410408884	CXCR4/ACKR3/EDNRB/FPR1/CCR1/CCR2/NLRP6/CXCR5/CALCRL/CXCR1/FPR2	11
